Page Number,Page Information
11,"This page is from a January 1996 issue of PC Gamer magazine.

The page features a variety of information related to PC gaming, including game listings, installation instructions, and a section on free demos.

**Game Listings and Installation Commands:**

A table lists various PC games, including Wing Commander IV, Crusader, Steel Panthers, Frankenstein, Su-27 Flanker (in DOS and Windows 95 versions), Terminator: Future Shock, Trophy Bass, PBA Bowling, Greed, Pinball World, Torin's Passage, Icebreaker, Hoyle Classic Games, Destruction Derby, Air Power, Al Unser Jr., Cyberspeed, Dogz, Genie, PlayNet, Descent WADS, Heretic WADS, and Doom WADS.  Next to each game title are the corresponding installation commands (e.g., INSTALL.BAT, SETUP.EXE).  A note indicates that some games require Windows 95 and/or installation through Windows.

**Free Demos:**

A prominent section highlights the availability of free game demos.  Newsstand buyers have the option of purchasing the CD-ROM edition or a version without the CD-ROM.  The article explains that those who buy the version without the CD-ROM can still access free demos.  Two methods for obtaining these demos are described: downloading them from the PC Gamer website (http://www.pcgamer.com) and ordering a CD-ROM disc via mail.  The mail-in option includes details on the cost of the CD-ROM disc ($5.95 shipping and handling) and a subscription option for a more comprehensive collection of CD-ROM discs ($47.95).

**Important Note:** The article also notes that floppy disk support is discontinued, and subscribers who previously received floppy disks will now receive CD-ROMs.

**PC Gamer Website:**

The page promotes the PC Gamer website, providing the URL (http://www.pcgamer.com).  It explains how to access the site through various online services, such as America Online, GEnie, or Prodigy.  The website offers game demos, a special Strategy Plus section, and other content.

**Attention Windows 95 Users:**

A section specifically addresses users of Windows 95.  It advises that while the front-end can be run through an MS-DOS box, it's recommended to reboot into a DOS session before installing or running demos from the included disc.  Instructions for rebooting into MS-DOS are referenced in the Windows 95 instruction manual.

**How to Use the Front End:**

A section provides instructions on how to use the PC Gamer magazine's front-end.  It details how to navigate the table of contents, select programs, view program descriptions and system requirements, return to the welcome screen, and access various options.

**Other Information:**

The page also includes an advertisement for Steel Panthers, a game, and contact information for Strategic Simulations, Inc.  There's also a small image of the PC Gamer magazine cover.


Overall, the page provides a mix of game information, installation instructions, promotional material, and important notes for PC gamers in 1996.
"
12,"This page is an advertisement for two video games, ""Star Trail"" and ""Jagged Alliance,"" both published by Sir-Tech.

The advertisement features large images of the game boxes, showcasing the cover art.  The text highlights key information about each game.

**Star Trail:**

* **Headline:**  ""NEW HEIGHTS IN PRODUCT QUALITY""
* **Key selling points:**  The advertisement emphasizes that ""Star Trail"" is the ""Best Role-Playing Game of 1994"" according to PC Gamer, and also the ""Best in Entertainment: Fantasy Role-Playing Game of 1994"" according to CD-ROM Today.  It also won a ""Finalist, 1995 Premier Awards"" and ""Best Multi-Character CRPG of 1994"" from Strategy Plus Magazine.  The ad lists additional awards and recognition from other publications.
* **Emphasis on quality:** The text uses phrases like ""New Heights in Product Quality"" to suggest the game's high standards.
* **CD-ROM:**  The ad explicitly states that the game is available on CD-ROM.

**Jagged Alliance:**

* **Headline:** ""NEW HEIGHTS IN MULTIMEDIA""
* **Key selling points:**  The ad highlights that ""Jagged Alliance"" is a ""genre-busting product"" but also fits into the ""Must-buy!"" category.  It received a ""Final Verdict"" of 89% from Computer Gaming World.  The ad quotes positive reviews from Jeff James of Computer Gaming World, who called it an ""utterly engrossing experience,"" and from PC Gamer, who praised its ""Superb turn-based mercenary action and great role-playing.""  The ad also mentions the game's value.
* **Multimedia:** The description emphasizes the game's multimedia aspects.

**Overall:**

The advertisement uses a combination of images and text to promote both games.  It highlights the awards and positive reviews received by each game, emphasizing their quality and appeal to gamers.  The ad also clearly states that both games are available on CD-ROM.  Contact information for Sir-Tech is provided at the bottom of the page, including a phone number for ordering.  The page also includes a copyright notice and product information number.
"
13,"This page is a review/preview of the video game ""Wing Commander IV,"" published in PC Gamer in January 1996.

The review prominently features a section titled ""Wing Commander IV,"" which includes a description of the game's plot.  It details how the Kilrathi were defeated in the previous game, but peace is short-lived, and a revolt against the Terran Confederation is underway.  The review highlights the return of key characters from the previous installment, including Colonel Blair (voiced by Mark Hamill) and Admiral Tolwyn (voiced by Malcolm McDowell).  It also mentions the inclusion of other notable actors like Tom Wilson and John Rhys-Davies.

The review emphasizes the game's engaging storyline, promising a ""fantastic portrayal of characters"" and a significant impact on the fate of a galaxy.  It also notes the return of the original cast from the previous game.

A ""Hint"" section provides tips for the game, including how to adjust the flight time in the demo and how to navigate the demo's interactive portion.  It also mentions the importance of the demo's cinematic trailer and how to access the interactive portion of the game.

A ""Technical Note"" section addresses the game's technical requirements, specifically mentioning the need for extended memory (XMS) and the importance of not loading SMARTDRV.EXE to avoid performance issues.

A section titled ""Control Keys"" provides a detailed list of keyboard controls for the game, including actions like lock target, fire missile, fire gun, autopilot, and various other functions.

A quote from the review highlights the game's strong interactive portion and the smarter enemy AI, suggesting a significant improvement over the previous game.  The review also emphasizes the game's action-packed nature and promises an even more exciting experience than its predecessor.

Finally, a quote from the review highlights the importance of the game's actors, specifically mentioning Malcolm McDowell's role as Admiral Tolwyn.

The overall tone of the review is positive, emphasizing the game's engaging storyline, impressive cast, and improved gameplay mechanics.  The review rating is not explicitly stated, but the overall description suggests a highly anticipated and positive reception.
"
14,"This page is from a PC Gamer magazine, likely from January 1996, featuring reviews and previews of two video games: ""Destruction Derby"" and ""Torin's Passage.""

**Destruction Derby Review:**

The review section for ""Destruction Derby"" highlights the game's car-crunching action and its realistic driving model.  It emphasizes the fast-paced, smooth gameplay, despite not having the highest resolution graphics.  The review mentions several game modes, including a straight stock car race, Wreckin' Racing, and the demo mode, Destruction Derby.  The reviewer notes that the game's damage calculation is dynamic, meaning each collision is unique.  The review also mentions a ""status indicator"" on the screen that shows the damage to different parts of the car.  The review section also includes a ""Challenge"" section, showcasing a player's high score of 30 points.

**Torin's Passage Review:**

The review for ""Torin's Passage"" focuses on its beautiful animated graphics and user-friendly interface.  It's described as a graphic adventure suitable for families.  The game's story is about a young man named Torin and his adventures.  The reviewer praises the game's unique humor and the original storyline.  The review also details the game's demo, explaining how to use items, navigate the environment, and use the inventory system.  The demo section includes instructions on how to use the mouse cursor to interact with the game world.  The review also includes a section on the game's unique point of view, which is described as panoramic.

**Overall:**

The page provides detailed information about both games, including release dates, required hardware specifications, and installation instructions.  The page also includes screenshots and descriptions of gameplay mechanics for both games.  The review ratings are not explicitly stated, but the descriptions suggest positive reviews for both titles.
"
15,"This is a promotional advertisement for the video game ""Wing Commander: The Price of Freedom.""

The advertisement is predominantly a rich, reddish-brown color.  It features a large, stylized title at the top: ""WING COMMANDER THE PRICE OF FREEDOM.""  Below this, a smaller, more descriptive headline states, ""The epic sequel to the best selling interactive movie ever!""

The body of the advertisement highlights key features of the game:

* **Interactive Movie Experience:**  The text emphasizes that the game is ""shot just like a movie – on film, not video."" This suggests a cinematic style of gameplay.
* **Star Cast:**  The advertisement boasts a ""cast of favorites,"" listing actors Mark Hamill, Malcolm McDowell, John Rhys-Davies, and Tom Wilson.  This is a clear attempt to attract fans of these actors.
* **High Production Quality:**  The text emphasizes ""unsurpassed production quality,"" ""detailed Hollywood studio sets,"" and ""16-bit color"" and ""16-bit Dolby surround™ sound.""  These details suggest a high level of visual and audio fidelity for the time.
* **Game Features:**  The advertisement also lists ""new ships, HUDs, weapons, and targeting systems,"" indicating that the game offers significant gameplay enhancements.
* **Digital Music:**  The inclusion of ""full digital music throughout the game"" suggests a significant investment in the audio experience.

The advertisement also includes several images:

* **Screenshots:**  There are several small images of in-game scenes, including ship combat and character interactions.  These are likely intended to give potential buyers a glimpse of the game's visual style.
* **Film Stills:**  There are also images of actors from the movie, likely to appeal to fans of the actors.

At the bottom of the page, there's important information:

* **Website:**  A URL is provided: http://www.ea.com/origin.html, directing users to the Electronic Arts website for more information.
* **Contact Information:**  A phone number for direct sales is included: 1 800 245-4525.
* **Copyright and Trademark Information:**  The advertisement clearly states the copyright and trademark information for the game, developers, and associated companies.

Overall, the advertisement is designed to entice potential buyers with a combination of cinematic appeal, star power, and technical specifications.  It effectively highlights the game's features and aims to position it as a high-quality interactive movie experience.
"
16,"The page is an advertisement for the computer game ""Arcade America,"" developed by 7th Level.

The advertisement features a vibrant cartoon-style image of characters engaged in a game that appears to involve jumping, shooting, and climbing.  The characters are depicted in a stylized, exaggerated manner, with exaggerated expressions and body language.  The background is a colorful, cartoonish landscape.

The text prominently displays the game title ""Arcade America"" in large, bold letters.  Below the title, there's a description of the game, highlighting its ""radical"" nature and its ability to separate ""tough guys from the mondo weenies.""  The text also emphasizes the game's CD-ROM format and promises ""Satisfaction Guaranteed.""  A graphic of a cartoon crocodile is also present.

The advertisement also includes information on how to obtain a free demo or download the game, including website addresses (www.7thlevel.com), and online services (AOL, MSN, Compuserve, Prodigy).  Contact information for ordering is also provided (1-800-884-8863, ext. 124).

The advertisement also includes logos for retailers like Babbage's and Best Buy, and CompUSA, indicating where the game can be purchased.  A 60-day money-back guarantee is also mentioned.  Finally, a copyright notice and product information number are included at the bottom.

The overall impression is one of a promotional piece designed to attract attention and generate interest in the game. The cartoonish visuals and bold text are intended to appeal to a younger audience. The emphasis on the game's ""radical"" nature and its ability to separate players suggests a competitive and challenging gameplay experience.
"
17,"This page is an advertisement for a flight simulator, specifically the ""Su-27 Flanker"" simulation.

**Product Information:**

The top section highlights the product name, ""Su-27 Flanker,"" and includes details like the company (SSI), phone number, release date (available now), and the required system specifications (486DX/33 processor, 8MB RAM, 2MB hard drive space).  It also lists the installation instructions, including the file names for installation on DOS and Windows 95 systems.

**Product Description:**

The text emphasizes the realistic modeling of the Russian Su-27 fighter jet, highlighting the accuracy of the aerodynamics and the real-time simulation environment.  It stresses the immersive experience, noting that players will react to the impact of enemy missiles.  A demo is mentioned, allowing players to experience a pre-recorded mission.

**Control Keys:**

A section lists the control keys for the simulator, including flight direction, rudder controls, thrust adjustments, airbrakes, landing gear, navigation, and various combat modes (e.g., close air combat, air-to-ground, missile aiming).  The controls are described for both joystick and keyboard input.

**Technical Note:**

A ""Technical Note"" section addresses potential sound issues, specifying the required sound card configuration for the demo.  It also mentions that the full version will include drivers for most sound cards.  The full version's controls are also available in a text file (controls.txt) that can be copied to the hard drive.

**External View:**

The text describes the external view of the simulation, emphasizing the detailed visual representation of the aircraft and the dynamic movement of the flaps.

**Pricing and Availability:**

The advertisement prominently features the price of $179 and emphasizes that the product is ""worth it.""  It also includes a phone number (1-800-SIM-EYES) for ordering.

**Overall Impression:**

The page is designed to be visually appealing, with a bold, colorful layout.  The text is clear and concise, highlighting the key features of the flight simulator.  The overall tone is enthusiastic and aims to attract potential customers.  The inclusion of a VR logo and the mention of stereographics suggests a 3D visual experience.  The product information number (192) further indicates that this is a promotional piece from a specific publication.
"
18,"This page is a review/preview of the PC game ""Crusader: No Remorse,"" published in PC Gamer magazine, January 1996.

The review is presented in a layout that combines text descriptions with screenshots and diagrams.

**Game Overview:**

The article highlights ""Crusader: No Remorse"" as a new title from Origin, categorized as an action/adventure game.  It emphasizes the blending of arcade action with puzzle-solving and storytelling elements of a graphic adventure.  The game takes place in a futuristic setting where the player is a member of an elite militia (the Silencers) for the World Economic Consortium (WEC).  The player is forced to leave the WEC and join the Resistance after a mission goes wrong.  The player's goal is to help the Resistance.

**Gameplay Details:**

The review details the control scheme, emphasizing the use of the numeric keypad (with Num Lock on) for most commands.  It lists the various actions players can take, including movement (walk forward, turn left/right, back up, crouch, roll left/right), weapon handling (scroll through weapons, scroll through inventory, ready/fire weapon, use selected inventory item, select nearby object to manipulate), and special actions (manipulate selected object, run, jump).  The article also notes the use of a gamepad as an alternative control method.  The review also describes the game's level design, mentioning security guards, booby traps, and other obstacles.  It highlights the ability to kill guards in various ways, including shooting barrels that explode.

**Graphics and Sound:**

The review praises the game's graphics as ""crisp,"" allowing for exploration of the game world.  It also mentions the intensity and detail of the game, comparing it favorably to the creators of Wing Commander IV.  The review also hints at the presence of booby traps and other hazards.

**Demo Impressions:**

The review states that the demo showcases only a fraction of the full game, but it gives a taste of the game's action-packed gameplay.  The demo includes a mission to destroy a thermonuclear coupler at a WEC facility, requiring infiltration and combat.  The review emphasizes the presence of robots, security cameras, and mechanized machine-gun nests as obstacles.

**Overall Impression:**

The review suggests that the game is likely to be a hit, promising a ""shocking experience"" for players.  It highlights the potential for intense combat and exploration, and the possibility of destroying objects with explosive power.  The review concludes by suggesting that players will want more of the game after playing the demo.

**Rating:**

There is no explicit rating given, but the overall tone of the review is positive and enthusiastic, suggesting a high degree of praise for the game.
"
19,"The image is a promotional advertisement for the video game ""Spycraft: The Great Game,"" likely from the late 1990s.

The advertisement uses a dark, almost ominous, color scheme with a focus on the spy theme.  A target-like graphic is prominent in the background, with the names and titles of William Colby (CIA) and Oleg Kalugin (KGB) featured prominently.  The text ""THEY RAN THE TWO LARGEST SPY AGENCIES IN THE WORLD"" sets the stage for the game's theme.

Below this, the game title ""SPYCRAFT: THE GREAT GAME"" is displayed in large, bold, white letters.  The tagline ""THIS IS THEIR IDEA OF A GAME"" further emphasizes the game's spy-themed plot.

The advertisement also includes information about the game's release date (""COMING IN FROM THE COLD THIS WINTER""), the publisher (""ACTIVISION""), and a website address (""HTTP://WWW.ACTIVISION.COM"").  There are also logos for the sound design companies involved (QSound and Q).

Finally, the bottom of the advertisement includes copyright information, Activision's registered trademark, and the product information number (89).

There are no review ratings visible on this promotional image.  It's purely an advertisement, not a review page.
"
20,"The page is an advertisement for a computer game called ""Gender Wars,"" published by Sci Entertainment.

The top portion of the page features a black and white, vintage-style image of three women (presumably the game's characters).  The image is overlaid with large, bold, magenta-colored text that reads: ""While the men were in the bar, Martyl, Dot, Eva and Nancy cooked up a deadly plot on their secretly installed CD Rom. Their mission... to obliterate the male species."" This text creates a dramatic and intriguing narrative hook, hinting at a game with a strong plot and potentially a humorous or satirical theme.

Below the image, the text ""FOR PERFECT RESULTS EVERY TIME"" and ""THE ULTIMATE BATTLE OF THE SEXES"" is displayed in a large, bold, sans-serif font. This further emphasizes the game's theme and suggests a competitive or strategic element.

The bottom portion of the page features a product image of the game's box, which is a dark gray/black box with the title ""GENDER WARS"" prominently displayed in a bold, magenta font.  The box also features a graphic of a male and female symbol.  The Sci Entertainment logo is also visible.

Below the box image, there is a small block of text that includes the company name (Sci), the tagline (""ENTERTAINMENT IN ITS PUREST FORM""), and a phone number (1-800-292-3797) for more information.  The text also states that the game is available on PC CD-ROM ""from the strangest places.""

Overall, the page is designed to grab attention and create interest in the game, using a combination of vintage imagery, dramatic text, and a clear call to action. The advertisement effectively highlights the game's theme and suggests a potentially engaging and humorous gameplay experience."
21,"The page is an advertisement for a PC game called ""Gender Wars.""

The top portion of the page features a black and white image of several men seated around a table, seemingly engaged in a conversation or planning something.  The image is overlaid with text in a bold, light-blue font that describes a plot involving the men cooking dinner and brewing up a ""poisonous plot"" to ""obliterate the female species.""  The text emphasizes the men's determination and the significant effort required for their plan.

Below the image, the advertisement transitions to a vibrant blue background.  Large, bold white text proclaims ""FOR PERFECT RESULTS EVERY TIME"" and ""THE ULTIMATE BATTLE OF THE SEXES,"" further highlighting the game's theme.

A box image of the game, ""Gender Wars,"" is prominently displayed.  The box art features a graphic of a male and female symbol, suggesting the game's central conflict.  The box also includes the game's title and the logo of the publisher, ""Sci.""

Below the box art, smaller text provides details about how to obtain the game: ""Available on PC CD-ROM from the strangest places.""  It also includes a ""Product Information Number 174.""

Finally, at the bottom of the page, there's more text in a smaller font, promoting the company, ""Sci,"" as providing ""ENTERTAINMENT IN ITS PUREST FORM.""  It also includes a phone number for more information: ""For more information call: 1-800-292-3797.""

The overall design and text evoke a sense of intrigue and excitement, aiming to attract potential buyers interested in a game with a potentially controversial or humorous theme.
"
22,"This page is an advertisement for the video game ""Allied General,"" part of the 5-Star Series.  It's a promotional piece, likely from a magazine or catalog, showcasing the game's features and highlighting its improvements over its predecessor, ""Panzer General.""

**Overall Impression:** The advertisement is visually appealing, using a combination of text, graphics, and images to entice potential buyers.  The layout is clear and easy to follow, with sections dedicated to key selling points.

**Headline and Slogan:** The large, bold headline ""ALLIED GENERAL"" is immediately noticeable, followed by a smaller but still prominent subtitle ""BIGGER. BETTER. READY TO ROLL!""  The slogan ""If you were blown away by PANZER GENERAL, you'll be blown to bits by ALLIED GENERAL!"" emphasizes the game's enhanced features and improved gameplay.

**Game Overview:** The text describes ""Allied General"" as a significant advancement in the strategy game genre, building upon the success of its predecessor, ""Panzer General.""  It highlights the game's new features, including:

* **Windows 95 compatibility:**  The advertisement emphasizes the game's compatibility with the latest operating system, Windows 95, and also Windows 3.1, showcasing its modern design.
* **Expanded Campaign:** The game features a larger campaign, with more choices for players.
* **Scenario Variety:**  Over 35 scenarios are mentioned, including a ""what-if"" scenario based on Churchill's never-realized invasion of Norway (Operation Jupiter).
* **Improved Gameplay:** The text emphasizes the game's enhanced gameplay, with new troop types (like Finnish ski troops), streamlined file transfer, and full VCR playback of opponent's turns.
* **E-mail gaming:** The advertisement mentions the ability to play via email, suggesting a multiplayer component.
* **5-Star Series:** The game is positioned as part of the 5-Star Series, implying a high quality and established reputation.

**Visual Elements:** The page includes several images:

* **Screenshots:**  Several screenshots of the game's interface are shown, displaying maps, units, and other game elements.  These give a glimpse into the game's visual style and gameplay mechanics.
* **Historical Maps:**  The background incorporates maps of Europe, suggesting the historical setting of the game.
* **Tank Images:**  Images of tanks and other military vehicles are present, reinforcing the game's military theme.

**Call to Action:** The advertisement includes a call to action, encouraging readers to order the game by calling a toll-free number.  It also specifies that the order is only valid for North America.

**Rating:** The page displays a rating symbol (RP) and a reference to an Entertainment Software Rating Board (ESRB).  This indicates that the game has been rated, but the specific rating is not shown.

**Technical Specifications:** The advertisement mentions the game's compatibility with IBM PCs, Power Macs, and CD-ROM drives.

**Overall:** The advertisement effectively highlights the improvements and features of ""Allied General,"" aiming to attract players who enjoyed ""Panzer General"" and those looking for a new strategy game experience.
"
